p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
10,TRUE,0.3925,0.030797411846470196,0.3275,0.023465067121148406,10,3,0.36,400
10,FALSE,0.78,0.04883607689009261,0.49,0.024994999499899976,10,3,0.36,400
30,TRUE,0.15,0.01889822365046136,0.1425,0.017478111311008408,10,3,0.36,400
30,FALSE,1.02,0.05954295431469035,0.575,0.024717149916606486,10,3,0.36,400
100,TRUE,0.07,0.013254781139560325,0.0675,0.0125442965127583,10,3,0.36,400
100,FALSE,1.07,0.05934268181260246,0.6075,0.024415351215987043,10,3,0.36,400
300,TRUE,0.01,0.004981167541368988,0.01,0.0049749371855331,10,3,0.36,400
300,FALSE,1.0675,0.06003223340522196,0.59,0.024591665254715876,10,3,0.36,400
1000,TRUE,0.0075,0.0043192609365022144,0.0075,0.00431385848168435,10,3,0.36,400
1000,FALSE,1.1475,0.06538384351260793,0.6,0.02449489742783178,10,3,0.36,400
3000,TRUE,0,0,0,0,10,3,0.36,400
3000,FALSE,1.205,0.0662828865743759,0.62,0.024269322199023193,10,3,0.36,400
6000,TRUE,0,0,0,0,10,3,0.36,400
6000,FALSE,1.2475,0.06510534648053781,0.66,0.02368543856465402,10,3,0.36,400
