p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.055664918422698974,5.13624025062632e-4,fdr,30,3,0.5,100,no
100,0.013612895011901856,1.5473789906908752e-4,tweedie,30,3,0.5,100,no
100,0.41382790565490724,0.0023015755058163768,lasso,30,3,0.5,100,no
100,0.49132890939712526,0.010892315344717296,boruta,30,3,0.5,100,no
100,0.7790046834945679,0.00327765425198401,svm,30,3,0.5,100,no
300,0.1591690993309021,6.433009067847373e-4,fdr,30,3,0.5,100,no
300,0.019816946983337403,2.172702264327373e-4,tweedie,30,3,0.5,100,no
300,0.4247180199623108,0.0020240384633519394,lasso,30,3,0.5,100,no
300,0.7345278716087341,0.008540626047992637,boruta,30,3,0.5,100,no
300,1.4903588438034057,0.00557031102058786,svm,30,3,0.5,100,no
1000,0.49621316909790036,0.001885142674350148,fdr,30,3,0.5,100,no
1000,0.038233726024627684,2.539401293186228e-4,tweedie,30,3,0.5,100,no
1000,0.5051099991798401,0.002674803890564836,lasso,30,3,0.5,100,no
1000,1.8181744647026061,0.012381317243159731,boruta,30,3,0.5,100,no
1000,3.6206057834625245,0.00753680719617081,svm,30,3,0.5,100,no
3000,1.47487624168396,0.004829592355394025,fdr,30,3,0.5,100,no
3000,0.10243319034576416,0.0014166444346392793,tweedie,30,3,0.5,100,no
3000,3.1930388021469116,0.005342665607581791,lasso,30,3,0.5,100,no
3000,4.622723212242127,0.01877840850974328,boruta,30,3,0.5,100,no
3000,2.789783010482788,0.01024349477559785,svm,30,3,0.5,100,no
10000,4.791713073253631,0.008050881725381789,fdr,30,3,0.5,100,no
10000,0.30562395095825196,0.001695681473827407,tweedie,30,3,0.5,100,no
10000,4.209406332969666,0.00853404591592902,lasso,30,3,0.5,100,no
10000,15.373933129310608,0.08325392533038334,boruta,30,3,0.5,100,no
10000,3.735108277797699,0.025768257445709035,svm,30,3,0.5,100,no
