p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.06116254329681396,0.0034213842748026363,fdr,10,1,0.5,10
100,0.016414880752563477,0.0015510046343958084,tweedie,10,1,0.5,10
100,2.1564465761184692,0.015319394386542427,lasso,10,1,0.5,10
100,0.13242480754852295,0.0034151727022180903,boruta,10,1,0.5,10
100,0.9633870363235474,0.008718075311494733,svm,10,1,0.5,10
300,0.16340169906616211,0.0025253243124561927,fdr,10,1,0.5,10
300,0.0231170654296875,0.0012441162874826752,tweedie,10,1,0.5,10
300,2.1188791036605834,0.0312700470312254,lasso,10,1,0.5,10
300,0.325075364112854,0.010093268757145548,boruta,10,1,0.5,10
300,1.7308314085006713,0.047764361879906604,svm,10,1,0.5,10
1000,0.5184255838394165,0.02441056951625374,fdr,10,1,0.5,10
1000,0.04215221405029297,0.0017674087617531276,tweedie,10,1,0.5,10
1000,2.0858177661895754,0.017359998844754778,lasso,10,1,0.5,10
1000,1.0019829988479614,0.006715902028000439,boruta,10,1,0.5,10
1000,3.9546332597732543,0.028164779830345373,svm,10,1,0.5,10
3000,1.493067455291748,0.01900059421522995,fdr,10,1,0.5,10
3000,0.11246318817138672,0.0019077923168605024,tweedie,10,1,0.5,10
3000,5.291990876197815,0.1016220733823845,lasso,10,1,0.5,10
3000,3.3282039165496826,0.06869694723663533,boruta,10,1,0.5,10
3000,3.0067614555358886,0.0433528345656262,svm,10,1,0.5,10
10000,4.831714940071106,0.0559670676873482,fdr,10,1,0.5,10
10000,0.3290419578552246,0.003938916633734966,tweedie,10,1,0.5,10
10000,6.453437447547913,0.08081777893034439,lasso,10,1,0.5,10
10000,12.714729714393616,0.0840779650404564,boruta,10,1,0.5,10
10000,4.292861914634704,0.14498565232434713,svm,10,1,0.5,10
