p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims,correlated
100,TRUE,8.17,0.14002525024819884,1,0,fdr,50,10,1.1,100,no
100,FALSE,0.36,0.06744994402884964,0.26,0.04386342439892262,fdr,50,10,1.1,100,no
100,TRUE,7.89,0.13172898410192518,1,0,tweedie,50,10,1.1,100,no
100,FALSE,5.61,0.49049449383744204,0.84,0.036660605559646724,tweedie,50,10,1.1,100,no
100,TRUE,6.89,0.13990978334179305,1,0,lasso,50,10,1.1,100,no
100,FALSE,5.57,0.2818607006048458,0.98,0.014000000000000005,lasso,50,10,1.1,100,no
100,TRUE,6.13,0.13307171302752815,1,0,boruta,50,10,1.1,100,no
100,FALSE,1.39,0.11449934938723891,0.73,0.044395945760846225,boruta,50,10,1.1,100,no
100,TRUE,1.8,0.04264014327112209,0.99,0.009949874371066205,svm,50,10,1.1,100,no
100,FALSE,0.2,0.04264014327112209,0.19,0.039230090491866064,svm,50,10,1.1,100,no
300,TRUE,6.72,0.16762150726255176,1,0,fdr,50,10,1.1,100,no
300,FALSE,0.34,0.06994947671662236,0.24,0.04270831300812525,fdr,50,10,1.1,100,no
300,TRUE,7.64,0.1322073669611035,1,0,tweedie,50,10,1.1,100,no
300,FALSE,1.79,0.17826039289973442,0.75,0.04330127018922193,tweedie,50,10,1.1,100,no
300,TRUE,6.06,0.15815859576431948,0.99,0.009949874371066205,lasso,50,10,1.1,100,no
300,FALSE,7,0.4005047320619825,0.96,0.019595917942265433,lasso,50,10,1.1,100,no
300,TRUE,5.13,0.14400827697873425,1,0,boruta,50,10,1.1,100,no
300,FALSE,2.77,0.1575410801003723,0.96,0.019595917942265433,boruta,50,10,1.1,100,no
300,TRUE,2.15,0.0757121075675696,0.99,0.009949874371066205,svm,50,10,1.1,100,no
300,FALSE,0.85,0.0757121075675696,0.64,0.048,svm,50,10,1.1,100,no
1000,TRUE,4.9,0.1966897777894639,1,0,fdr,50,10,1.1,100,no
1000,FALSE,0.43,0.07142842712828137,0.32,0.0466476151587624,fdr,50,10,1.1,100,no
1000,TRUE,6.6,0.1483920551114581,1,0,tweedie,50,10,1.1,100,no
1000,FALSE,1.85,0.18768929838238707,0.74,0.04386342439892262,tweedie,50,10,1.1,100,no
1000,TRUE,4.5,0.18721780110476954,0.94,0.023748684174075843,lasso,50,10,1.1,100,no
1000,FALSE,8.42,0.5224611531641913,0.92,0.027129319932501065,lasso,50,10,1.1,100,no
1000,TRUE,3.99,0.14804790379529803,1,0,boruta,50,10,1.1,100,no
1000,FALSE,4.67,0.18205060901415365,1,0,boruta,50,10,1.1,100,no
1000,TRUE,4,0.13257359305592337,1,0,svm,50,10,1.1,100,no
1000,FALSE,6,0.13257359305592337,1,0,svm,50,10,1.1,100,no
3000,TRUE,3.44,0.18603790207939083,0.91,0.028618176042508364,fdr,50,10,1.1,100,no
3000,FALSE,0.23,0.05290548080293665,0.19,0.039230090491866064,fdr,50,10,1.1,100,no
3000,TRUE,5.66,0.16770585119563516,1,0,tweedie,50,10,1.1,100,no
3000,FALSE,1.14,0.12310790208412925,0.62,0.048538644398046386,tweedie,50,10,1.1,100,no
3000,TRUE,3.3,0.18340219092574558,0.94,0.023748684174075843,lasso,50,10,1.1,100,no
3000,FALSE,7.14,0.5639005571763859,0.83,0.037563279941985904,lasso,50,10,1.1,100,no
3000,TRUE,3.07,0.14088823566747846,0.97,0.017058722109231986,boruta,50,10,1.1,100,no
3000,FALSE,6.54,0.21387242492059172,1,0,boruta,50,10,1.1,100,no
3000,TRUE,5.31,0.1475010700183753,1,0,svm,50,10,1.1,100,no
3000,FALSE,24.69,0.1475010700183753,1,0,svm,50,10,1.1,100,no
10000,TRUE,2.22,0.1738337764020037,0.78,0.04142463035441595,fdr,50,10,1.1,100,no
10000,FALSE,0.17,0.040339468604243256,0.16,0.03666060555964672,fdr,50,10,1.1,100,no
10000,TRUE,4.74,0.17616567041947598,1,0,tweedie,50,10,1.1,100,no
10000,FALSE,1.78,0.17556834117870573,0.77,0.042083250825001625,tweedie,50,10,1.1,100,no
10000,TRUE,2.01,0.16544705277739846,0.76,0.04270831300812525,lasso,50,10,1.1,100,no
10000,FALSE,6.52,0.6129049887645925,0.73,0.044395945760846225,lasso,50,10,1.1,100,no
10000,TRUE,1.85,0.12900160518929266,0.84,0.036660605559646724,boruta,50,10,1.1,100,no
10000,FALSE,8.53,0.27171546317663436,0.99,0.009949874371066205,boruta,50,10,1.1,100,no
10000,TRUE,5.03,0.17200833900386542,0.99,0.009949874371066205,svm,50,10,1.1,100,no
10000,FALSE,94.97,0.17200833900386542,1,0,svm,50,10,1.1,100,no
