p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.054797465801239016,3.828825459851301e-4,fdr,30,3,0.95,100,no
100,0.013558933734893799,1.391976138126428e-4,tweedie,30,3,0.95,100,no
100,0.4207930612564087,0.002560419185841913,lasso,30,3,0.95,100,no
100,0.4845824646949768,0.011281945746169697,boruta,30,3,0.95,100,no
100,0.788967559337616,0.003532520067910938,svm,30,3,0.95,100,no
300,0.1622919988632202,0.0015068950109882707,fdr,30,3,0.95,100,no
300,0.020297207832336427,2.6024675511315484e-4,tweedie,30,3,0.95,100,no
300,0.4326937222480774,0.002564881464151208,lasso,30,3,0.95,100,no
300,0.7267878293991089,0.009558385902815922,boruta,30,3,0.95,100,no
300,1.5325153136253358,0.006306381349211687,svm,30,3,0.95,100,no
1000,0.4874017357826233,0.0021196811285889884,fdr,30,3,0.95,100,no
1000,0.03759115219116211,3.0605712223731395e-4,tweedie,30,3,0.95,100,no
1000,0.48932289838790893,0.0020102294717535096,lasso,30,3,0.95,100,no
1000,1.5877166676521302,0.007289439061536826,boruta,30,3,0.95,100,no
1000,3.5299507188796997,0.007253465259159606,svm,30,3,0.95,100,no
3000,1.4567544198036193,0.004096615071886613,fdr,30,3,0.95,100,no
3000,0.10318068027496338,0.0017993215026588058,tweedie,30,3,0.95,100,no
3000,3.097018628120422,0.006134097839564411,lasso,30,3,0.95,100,no
3000,4.269068396091461,0.019298610828062047,boruta,30,3,0.95,100,no
3000,2.7464788293838502,0.011556448874500611,svm,30,3,0.95,100,no
10000,4.773539092540741,0.008120681871351856,fdr,30,3,0.95,100,no
10000,0.3038350653648376,0.0013613146707346663,tweedie,30,3,0.95,100,no
10000,4.173715949058533,0.0069163731217005186,lasso,30,3,0.95,100,no
10000,14.828731372356415,0.03785826007548619,boruta,30,3,0.95,100,no
10000,3.7811101341247557,0.026654642672366596,svm,30,3,0.95,100,no
