p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
10,TRUE,0.185,0.01943919251187622,0.185,0.019414878315353924,10,1,0.74,400
10,FALSE,0.94,0.0546439833127189,0.5525,0.02486180554585688,10,1,0.74,400
30,TRUE,0.065,0.012341729851983813,0.065,0.01232629303562105,10,1,0.74,400
30,FALSE,1.0775,0.06285787266037939,0.58,0.024677925358506134,10,1,0.74,400
100,TRUE,0.0275,0.008186998372779229,0.0275,0.008176758220713145,10,1,0.74,400
100,FALSE,1.12,0.06183493266142616,0.62,0.024269322199023193,10,1,0.74,400
300,TRUE,0.0025,0.0025,0.0025,0.0024968730444297725,10,1,0.74,400
300,FALSE,1.075,0.061096394521762874,0.59,0.024591665254715876,10,1,0.74,400
1000,TRUE,0.0025,0.0025,0.0025,0.0024968730444297725,10,1,0.74,400
1000,FALSE,1.15,0.066084551294531,0.595,0.024544602257930356,10,1,0.74,400
3000,TRUE,0,0,0,0,10,1,0.74,400
3000,FALSE,1.2025,0.06597055905215701,0.62,0.024269322199023193,10,1,0.74,400
6000,TRUE,0,0,0,0,10,1,0.74,400
6000,FALSE,1.2525,0.06591830118470662,0.66,0.02368543856465402,10,1,0.74,400
