p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.06032984495162964,5.288184367855045e-4,fdr,50,10,0.7,100,block
100,0.01362943410873413,1.4454302203741314e-4,tweedie,50,10,0.7,100,block
100,0.43778586864471436,0.0032480750926761094,lasso,50,10,0.7,100,block
100,0.6663115382194519,0.009994020298146666,boruta,50,10,0.7,100,block
100,0.8978459000587463,0.0045462075170498335,svm,50,10,0.7,100,block
300,0.17954501152038574,8.502577842366774e-4,fdr,50,10,0.7,100,block
300,0.020753617286682128,2.6597655223212685e-4,tweedie,50,10,0.7,100,block
300,0.4496294450759888,0.0017021447668679219,lasso,50,10,0.7,100,block
300,0.939203507900238,0.008110411023884873,boruta,50,10,0.7,100,block
300,1.751251082420349,0.005379157508329071,svm,50,10,0.7,100,block
1000,0.558122923374176,0.0032956095514232097,fdr,50,10,0.7,100,block
1000,0.04011529445648193,2.890118829542182e-4,tweedie,50,10,0.7,100,block
1000,0.5350453996658325,0.0027991399820521635,lasso,50,10,0.7,100,block
1000,2.0301349925994874,0.008672509094052396,boruta,50,10,0.7,100,block
1000,4.277081868648529,0.007916988788536087,svm,50,10,0.7,100,block
3000,1.639199779033661,0.00535764348161181,fdr,50,10,0.7,100,block
3000,0.10177145957946777,4.733345483488347e-4,tweedie,50,10,0.7,100,block
3000,3.339690248966217,0.0062220742331389484,lasso,50,10,0.7,100,block
3000,5.354016315937042,0.014820424392375686,boruta,50,10,0.7,100,block
3000,3.136809694766998,0.011657024785332787,svm,50,10,0.7,100,block
