p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims,correlated
100,0.7891495640509725,0.007506215962609247,NA,NA,NA,0.06324849993075267,0.005345473882167191,fdr,NA,NA,50,10,0.7,100,no
100,0.6669212358909329,0.00832528853872018,NA,NA,NA,0.08283557506314308,0.005916826790224506,tweedie,NA,NA,50,10,0.7,100,no
100,0.7208641975308642,0.013676151286626984,NA,9.748059308639617e-4,0.010352590598221773,0.13676151286626984,0.009719217504321922,lasso,0.7198893916000002,0.009876743366375784,50,10,0.7,100,no
100,0.6603665521191294,0.012317467083226553,NA,0.008772737686139776,0.011367950298069422,0.12131298178100253,0.008755010335932248,boruta,0.6515938144329897,0.005825570709036285,50,10,0.7,100,no
100,0.6072222222222222,0.011062040915699104,NA,-0.0027977777777777506,0.009044407177072823,0.11062040915699103,0.007861450158607073,svm,0.61002,0.0065689645264299405,50,10,0.7,100,no
300,0.8036606060606061,0.00949492743030605,NA,NA,NA,0.07041626644371883,0.006775808397768247,fdr,NA,NA,50,10,0.7,100,no
300,0.6877541452991454,0.009338945973622274,NA,NA,NA,0.09338945973622274,0.006636899905275375,tweedie,NA,NA,50,10,0.7,100,no
300,0.6449382716049382,0.014525291664973475,NA,-0.00181641539506177,0.01052034770698132,0.14525291664973475,0.010322675294155075,lasso,0.646754687,0.010895918765169873,50,10,0.7,100,no
300,0.5924036281179138,0.013886115569269261,NA,-0.0103831065759637,0.012459415977393078,0.13746553076718546,0.00986944993430185,boruta,0.6027867346938776,0.006283458665737307,50,10,0.7,100,no
300,0.6083333333333334,0.012814809949202088,NA,0.014443333333333341,0.010418801378271414,0.12814809949202088,0.009107088870436297,svm,0.59389,0.006983335358356546,50,10,0.7,100,no
1000,0.7992982456140351,0.018264411114709028,NA,NA,NA,0.11258939163149455,0.013088250924764368,fdr,NA,NA,50,10,0.7,100,no
1000,0.7142853535353535,0.011091471034711326,NA,NA,NA,0.10867377812760846,0.00788402450413048,tweedie,NA,NA,50,10,0.7,100,no
1000,0.571358024691358,0.013721033319139802,NA,-0.007862560308641976,0.010717285497007505,0.13721033319139803,0.009751113775932683,lasso,0.579220585,0.009209923821649386,50,10,0.7,100,no
1000,0.5640589569160998,0.011934780263587054,NA,-7.818594104308235e-4,0.010986660408750728,0.11814829678895288,0.008482553360641862,boruta,0.5648408163265306,0.004846215907206454,50,10,0.7,100,no
1000,0.5861111111111111,0.010751039994122956,NA,0.021084111111111123,0.009978045363788976,0.10751039994122956,0.007640431427716107,svm,0.565027,0.004955043314898998,50,10,0.7,100,no
3000,0.8516666666666667,0.011080513425729773,NA,NA,NA,0.04955356249106168,0.008038649329392076,fdr,NA,NA,50,10,0.7,100,no
3000,0.7680434782608696,0.0085891754400471,NA,NA,NA,0.08238447666928256,0.0061067437034588124,tweedie,NA,NA,50,10,0.7,100,no
3000,0.5394444444444445,0.01159186851750632,NA,0.0013386958444443736,0.009760248787895337,0.11591868517506321,0.008237982239441319,lasso,0.5381057486,0.0066296751631572505,50,10,0.7,100,no
3000,0.52,0.01193677487173341,NA,-0.01362899999999999,0.011003899170503508,0.1193677487173341,0.008483096512097377,boruta,0.533629,0.00410365820908244,50,10,0.7,100,no
3000,0.5427777777777778,0.011708279163595726,NA,0.0010777777777777864,0.01072978938850786,0.11708279163595726,0.008320711683233587,svm,0.5417,0.0030958718032603064,50,10,0.7,100,no
10000,0.8290909090909091,0.03149183286488868,NA,NA,NA,0.1044465935734187,0.02335496832484569,fdr,NA,NA,50,10,0.7,100,no
10000,0.7955102040816326,0.008609301081373966,NA,NA,NA,0.07203058071182188,0.006131650224528352,tweedie,NA,NA,50,10,0.7,100,no
10000,0.5312345679012346,0.012472789953490587,NA,0.014539416901234605,0.012377821047781104,0.12472789953490586,0.008864025843457513,lasso,0.516695151,0.004412936974998743,50,10,0.7,100,no
10000,0.51,0.01145320728450695,NA,-0.004688999999999976,0.010926710083707639,0.1145320728450695,0.008139439992087258,boruta,0.514689,0.0026067251388466233,50,10,0.7,100,no
10000,0.5377777777777778,0.012899798007217434,NA,0.01218477777777779,0.012980920762593991,0.12899798007217433,0.009167487253271442,svm,0.525593,0.0016634406687904013,50,10,0.7,100,no
