p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims,correlated
100,TRUE,97,0.97,0.017058722109231986,fdr,10,1,0.9,100,no
100,TRUE,2,0.02,0.014,tweedie,10,1,0.9,100,no
100,TRUE,43,0.43,0.04950757517794625,lasso,10,1,0.9,100,no
100,TRUE,100,1,0,boruta,10,1,0.9,100,no
100,TRUE,0,0,0,svm,10,1,0.9,100,no
300,TRUE,98,0.98,0.014000000000000005,fdr,10,1,0.9,100,no
300,TRUE,0,0,0,tweedie,10,1,0.9,100,no
300,TRUE,41,0.41,0.04918333050943175,lasso,10,1,0.9,100,no
300,TRUE,100,1,0,boruta,10,1,0.9,100,no
300,TRUE,0,0,0,svm,10,1,0.9,100,no
1000,TRUE,96,0.96,0.019595917942265433,fdr,10,1,0.9,100,no
1000,TRUE,0,0,0,tweedie,10,1,0.9,100,no
1000,TRUE,39,0.39,0.048774993593028795,lasso,10,1,0.9,100,no
1000,TRUE,100,1,0,boruta,10,1,0.9,100,no
1000,TRUE,0,0,0,svm,10,1,0.9,100,no
3000,TRUE,95,0.95,0.021794494717703377,fdr,10,1,0.9,100,no
3000,TRUE,0,0,0,tweedie,10,1,0.9,100,no
3000,TRUE,34,0.34,0.04737087712930804,lasso,10,1,0.9,100,no
3000,TRUE,100,1,0,boruta,10,1,0.9,100,no
3000,TRUE,0,0,0,svm,10,1,0.9,100,no
10000,TRUE,96,0.96,0.019595917942265433,fdr,10,1,0.9,100,no
10000,TRUE,0,0,0,tweedie,10,1,0.9,100,no
10000,TRUE,31,0.31,0.04624932431938871,lasso,10,1,0.9,100,no
10000,TRUE,100,1,0,boruta,10,1,0.9,100,no
10000,TRUE,0,0,0,svm,10,1,0.9,100,no
