p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.06205071449279785,5.747735867376291e-4,fdr,50,10,1.81,100
100,0.01436762571334839,2.8115636473131873e-4,tweedie,50,10,1.81,100
100,1.8557201600074769,0.004985630015196615,lasso,50,10,1.81,100
100,0.6473532795906067,0.011633651608415294,boruta,50,10,1.81,100
100,0.9614823913574219,0.005916063525308749,svm,50,10,1.81,100
300,0.1804332399368286,8.1261400553329e-4,fdr,50,10,1.81,100
300,0.02086108922958374,3.1251458219089224e-4,tweedie,50,10,1.81,100
300,1.8844600129127502,0.003821190366656383,lasso,50,10,1.81,100
300,0.9970458984375,0.006853750523634683,boruta,50,10,1.81,100
300,1.834028422832489,0.007379709841298938,svm,50,10,1.81,100
1000,0.6011928749084473,0.0059632634579768595,fdr,50,10,1.81,100
1000,0.04283263206481933,5.293377466879766e-4,tweedie,50,10,1.81,100
1000,2.1023233199119566,0.005755374932518922,lasso,50,10,1.81,100
1000,2.215365557670593,0.009701309379921084,boruta,50,10,1.81,100
1000,4.571227471828461,0.013112072756765531,svm,50,10,1.81,100
3000,1.7179402947425841,0.008909960565924593,fdr,50,10,1.81,100
3000,0.1096686315536499,8.348654821557714e-4,tweedie,50,10,1.81,100
3000,4.724474666118621,0.02611050061661916,lasso,50,10,1.81,100
3000,5.550986354351044,0.022705682497255866,boruta,50,10,1.81,100
3000,3.338823494911194,0.020234928768819403,svm,50,10,1.81,100
10000,5.696055233478546,0.03011331265790086,fdr,50,10,1.81,100
10000,0.3264426851272583,0.0020493122632596174,tweedie,50,10,1.81,100
10000,6.136550135612488,0.044344435640790894,lasso,50,10,1.81,100
10000,20.134169709682464,0.17327467744626923,boruta,50,10,1.81,100
10000,4.611601004600525,0.04330187723468838,svm,50,10,1.81,100
