p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.07100785732269287,6.644285845623015e-4,fdr,30,3,1.3,100,block
100,0.015624141693115235,0.001365940557005688,tweedie,30,3,1.3,100,block
100,0.3697707486152649,0.0018433929674854309,lasso,30,3,1.3,100,block
100,0.4609514141082764,0.01136819898178359,boruta,30,3,1.3,100,block
100,0.7967579555511475,0.0043567499661338535,svm,30,3,1.3,100,block
300,0.1719455599784851,8.633110706965545e-4,fdr,30,3,1.3,100,block
300,0.01984222412109375,2.0709870648610946e-4,tweedie,30,3,1.3,100,block
300,0.37730005502700803,0.0026987276445193118,lasso,30,3,1.3,100,block
300,0.7278536033630371,0.009599229403601533,boruta,30,3,1.3,100,block
300,1.5595303201675415,0.005931689473650174,svm,30,3,1.3,100,block
1000,0.512553596496582,0.002025552871375342,fdr,30,3,1.3,100,block
1000,0.038457648754119875,2.9715083841765625e-4,tweedie,30,3,1.3,100,block
1000,0.39330110311508176,0.0029658696414448663,lasso,30,3,1.3,100,block
1000,1.6158422303199769,0.010417900909270462,boruta,30,3,1.3,100,block
1000,3.8088065934181214,0.011286942819851304,svm,30,3,1.3,100,block
3000,1.5668020200729371,0.008554311045862075,fdr,30,3,1.3,100,block
3000,0.10146131992340088,4.267256926633979e-4,tweedie,30,3,1.3,100,block
3000,2.9447378945350646,0.01195185011253873,lasso,30,3,1.3,100,block
3000,4.358074202537536,0.017635485437275798,boruta,30,3,1.3,100,block
3000,2.9172240495681763,0.010764310288257029,svm,30,3,1.3,100,block
