p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims,correlated
100,TRUE,29,0.29,0.045376205218153706,fdr,50,10,0.7,100,no
100,TRUE,1,0.01,0.0099498743710662,tweedie,50,10,0.7,100,no
100,TRUE,7,0.07,0.02551470164434615,lasso,50,10,0.7,100,no
100,TRUE,0,0,0,boruta,50,10,0.7,100,no
100,TRUE,0,0,0,svm,50,10,0.7,100,no
300,TRUE,45,0.45,0.049749371855331,fdr,50,10,0.7,100,no
300,TRUE,0,0,0,tweedie,50,10,0.7,100,no
300,TRUE,18,0.18,0.03841874542459709,lasso,50,10,0.7,100,no
300,TRUE,0,0,0,boruta,50,10,0.7,100,no
300,TRUE,0,0,0,svm,50,10,0.7,100,no
1000,TRUE,62,0.62,0.048538644398046386,fdr,50,10,0.7,100,no
1000,TRUE,4,0.04,0.019595917942265423,tweedie,50,10,0.7,100,no
1000,TRUE,27,0.27,0.044395945760846225,lasso,50,10,0.7,100,no
1000,TRUE,0,0,0,boruta,50,10,0.7,100,no
1000,TRUE,0,0,0,svm,50,10,0.7,100,no
3000,TRUE,80,0.8,0.04,fdr,50,10,0.7,100,no
3000,TRUE,8,0.08,0.027129319932501072,tweedie,50,10,0.7,100,no
3000,TRUE,34,0.34,0.04737087712930804,lasso,50,10,0.7,100,no
3000,TRUE,0,0,0,boruta,50,10,0.7,100,no
3000,TRUE,0,0,0,svm,50,10,0.7,100,no
10000,TRUE,89,0.89,0.031288975694324025,fdr,50,10,0.7,100,no
10000,TRUE,30,0.3,0.0458257569495584,tweedie,50,10,0.7,100,no
10000,TRUE,33,0.33,0.04702127178203499,lasso,50,10,0.7,100,no
10000,TRUE,0,0,0,boruta,50,10,0.7,100,no
10000,TRUE,0,0,0,svm,50,10,0.7,100,no
