p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims,correlated
100,0.854176245210728,0.012878774976516294,NA,NA,NA,0.06935432576254004,0.00926786161764765,fdr,NA,NA,30,3,0.95,100,block
100,0.669594191248331,0.011399977455122966,NA,NA,NA,0.11052688216839973,0.008104224201150438,tweedie,NA,NA,30,3,0.95,100,block
100,0.5944,0.01903124491010199,NA,0.5944,0.01903124491010199,0.1903124491010199,0.013524916826576031,lasso,0,0,30,3,0.95,100,block
100,0.604225352112676,0.019902844474655713,NA,0.604225352112676,0.019902844474655713,0.1677043484556846,0.014173604363379557,boruta,0,0,30,3,0.95,100,block
100,0.596,0.01722811889929022,NA,0.596,0.01722811889929022,0.1722811889929022,0.012243490969294352,svm,0,0,30,3,0.95,100,block
300,0.8797385620915033,0.014139416766525446,NA,NA,NA,0.05829830881301374,0.01030578237334737,fdr,NA,NA,30,3,0.95,100,block
300,0.7451243961875089,0.011666998739442222,NA,NA,NA,0.11431277496531196,0.008293120332150414,tweedie,NA,NA,30,3,0.95,100,block
300,0.5446,0.01575533900208774,NA,0.5446,0.01575533900208774,0.1575533900208774,0.011196831872235316,lasso,0,0,30,3,0.95,100,block
300,0.5632183908045977,0.01942194176137492,NA,0.5632183908045977,0.01942194176137492,0.18115581275535933,0.013813001226316663,boruta,0,0,30,3,0.95,100,block
300,0.534,0.01646667893509542,NA,0.534,0.01646667893509542,0.1646667893509542,0.011702359149867279,svm,0,0,30,3,0.95,100,block
1000,0.837037037037037,0.04743054990691,NA,NA,NA,0.14229164972073,0.0355729124301825,fdr,NA,NA,30,3,0.95,100,block
1000,0.7534281489444533,0.012267951087105622,NA,NA,NA,0.11767005309999937,0.008722284645185001,tweedie,NA,NA,30,3,0.95,100,block
1000,0.5092,0.018118398484313222,NA,0.5092,0.018118398484313222,0.18118398484313222,0.012876185120239952,lasso,0,0,30,3,0.95,100,block
1000,0.53125,0.016175605685668955,NA,0.53125,0.016175605685668955,0.15848792084140542,0.011497922249975517,boruta,0,0,30,3,0.95,100,block
1000,0.548,0.017435595774162697,NA,0.548,0.017435595774162697,0.17435595774162696,0.01239093836379447,svm,0,0,30,3,0.95,100,block
3000,0.9209876543209876,0.01619120623284444,NA,NA,NA,0.04857361869853333,0.012143404674633332,fdr,NA,NA,30,3,0.95,100,block
3000,0.8196565957190958,0.010969076938650459,NA,NA,NA,0.09811040674099088,0.007805244873623894,tweedie,NA,NA,30,3,0.95,100,block
3000,0.5218,0.014622785595975157,NA,0.5218,0.014622785595975157,0.14622785595975157,0.010391961213921351,lasso,0,0,30,3,0.95,100,block
3000,0.494,0.01625677791823547,NA,0.494,0.01625677791823547,0.1625677791823547,0.011553188992672906,boruta,0,0,30,3,0.95,100,block
3000,0.528,0.01676215072625518,NA,0.528,0.01676215072625518,0.16762150726255182,0.011912341808327735,svm,0,0,30,3,0.95,100,block
