p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims,correlated
100,TRUE,47,0.47,0.04990991885387112,fdr,30,3,1.3,100,block
100,TRUE,2,0.02,0.014,tweedie,30,3,1.3,100,block
100,TRUE,19,0.19,0.039230090491866064,lasso,30,3,1.3,100,block
100,TRUE,7,0.07,0.02551470164434615,boruta,30,3,1.3,100,block
100,TRUE,0,0,0,svm,30,3,1.3,100,block
300,TRUE,53,0.53,0.04990991885387112,fdr,30,3,1.3,100,block
300,TRUE,3,0.03,0.01705872210923198,tweedie,30,3,1.3,100,block
300,TRUE,35,0.35,0.047696960070847276,lasso,30,3,1.3,100,block
300,TRUE,0,0,0,boruta,30,3,1.3,100,block
300,TRUE,0,0,0,svm,30,3,1.3,100,block
1000,TRUE,72,0.72,0.0448998886412873,fdr,30,3,1.3,100,block
1000,TRUE,7,0.07,0.02551470164434615,tweedie,30,3,1.3,100,block
1000,TRUE,43,0.43,0.04950757517794625,lasso,30,3,1.3,100,block
1000,TRUE,0,0,0,boruta,30,3,1.3,100,block
1000,TRUE,0,0,0,svm,30,3,1.3,100,block
3000,TRUE,82,0.82,0.0384187454245971,fdr,30,3,1.3,100,block
3000,TRUE,8,0.08,0.027129319932501072,tweedie,30,3,1.3,100,block
3000,TRUE,31,0.31,0.04624932431938871,lasso,30,3,1.3,100,block
3000,TRUE,0,0,0,boruta,30,3,1.3,100,block
3000,TRUE,0,0,0,svm,30,3,1.3,100,block
