p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.06709988117218017,0.002885155354260066,fdr,30,3,1.1,10
100,0.015097355842590332,5.95178559787618e-4,tweedie,30,3,1.1,10
100,2.2290093183517454,0.015021643072629043,lasso,30,3,1.1,10
100,0.6540302991867065,0.018598874104821955,boruta,30,3,1.1,10
100,1.078443217277527,0.012059356939685142,svm,30,3,1.1,10
300,0.18129136562347412,0.00215886515579573,fdr,30,3,1.1,10
300,0.02660360336303711,0.002522209617104563,tweedie,30,3,1.1,10
300,2.067154884338379,0.003974893047956604,lasso,30,3,1.1,10
300,0.8495279312133789,0.044550100200131754,boruta,30,3,1.1,10
300,1.8147833108901978,0.007708485960163489,svm,30,3,1.1,10
1000,0.5623515129089356,0.003740221085931332,fdr,30,3,1.1,10
1000,0.04040882587432861,5.528734526154927e-4,tweedie,30,3,1.1,10
1000,2.1664461851119996,0.019326847925770732,lasso,30,3,1.1,10
1000,1.8645141124725342,0.031900044873667675,boruta,30,3,1.1,10
1000,4.315889549255371,0.05833756078659858,svm,30,3,1.1,10
3000,1.6625099182128906,0.017698343368350127,fdr,30,3,1.1,10
3000,0.115167236328125,0.002793523036016665,tweedie,30,3,1.1,10
3000,5.131591010093689,0.013544132345765254,lasso,30,3,1.1,10
3000,4.870041275024414,0.05732244463147184,boruta,30,3,1.1,10
3000,3.313325834274292,0.05087190318207574,svm,30,3,1.1,10
10000,5.296635627746582,0.032472649640600246,fdr,30,3,1.1,10
10000,0.3422293186187744,0.003475612835553757,tweedie,30,3,1.1,10
10000,6.338146185874939,0.07125985998180272,lasso,30,3,1.1,10
10000,17.418707919120788,0.057511444056793586,boruta,30,3,1.1,10
10000,4.371191143989563,0.030970376543989417,svm,30,3,1.1,10
