p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims,correlated
100,TRUE,17,0.17,0.0375632799419859,fdr,50,10,0.7,100,block
100,TRUE,2,0.02,0.014,tweedie,50,10,0.7,100,block
100,TRUE,7,0.07,0.02551470164434615,lasso,50,10,0.7,100,block
100,TRUE,1,0.01,0.0099498743710662,boruta,50,10,0.7,100,block
100,TRUE,0,0,0,svm,50,10,0.7,100,block
300,TRUE,44,0.44,0.04963869458396343,fdr,50,10,0.7,100,block
300,TRUE,1,0.01,0.0099498743710662,tweedie,50,10,0.7,100,block
300,TRUE,15,0.15,0.035707142142714254,lasso,50,10,0.7,100,block
300,TRUE,0,0,0,boruta,50,10,0.7,100,block
300,TRUE,0,0,0,svm,50,10,0.7,100,block
1000,TRUE,67,0.67,0.04702127178203499,fdr,50,10,0.7,100,block
1000,TRUE,5,0.05,0.021794494717703367,tweedie,50,10,0.7,100,block
1000,TRUE,28,0.28,0.0448998886412873,lasso,50,10,0.7,100,block
1000,TRUE,0,0,0,boruta,50,10,0.7,100,block
1000,TRUE,0,0,0,svm,50,10,0.7,100,block
3000,TRUE,76,0.76,0.04270831300812525,fdr,50,10,0.7,100,block
3000,TRUE,8,0.08,0.027129319932501072,tweedie,50,10,0.7,100,block
3000,TRUE,28,0.28,0.0448998886412873,lasso,50,10,0.7,100,block
3000,TRUE,0,0,0,boruta,50,10,0.7,100,block
3000,TRUE,0,0,0,svm,50,10,0.7,100,block
