p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims,correlated
100,TRUE,88,0.88,0.03249615361854384,fdr,50,10,0.3,100,no
100,TRUE,2,0.02,0.014,tweedie,50,10,0.3,100,no
100,TRUE,32,0.32,0.0466476151587624,lasso,50,10,0.3,100,no
100,TRUE,2,0.02,0.014,boruta,50,10,0.3,100,no
100,TRUE,0,0,0,svm,50,10,0.3,100,no
300,TRUE,93,0.93,0.02551470164434614,fdr,50,10,0.3,100,no
300,TRUE,10,0.1,0.030000000000000002,tweedie,50,10,0.3,100,no
300,TRUE,30,0.3,0.0458257569495584,lasso,50,10,0.3,100,no
300,TRUE,0,0,0,boruta,50,10,0.3,100,no
300,TRUE,0,0,0,svm,50,10,0.3,100,no
1000,TRUE,96,0.96,0.019595917942265433,fdr,50,10,0.3,100,no
1000,TRUE,16,0.16,0.03666060555964672,tweedie,50,10,0.3,100,no
1000,TRUE,31,0.31,0.04624932431938871,lasso,50,10,0.3,100,no
1000,TRUE,0,0,0,boruta,50,10,0.3,100,no
1000,TRUE,0,0,0,svm,50,10,0.3,100,no
3000,TRUE,95,0.95,0.021794494717703377,fdr,50,10,0.3,100,no
3000,TRUE,28,0.28,0.0448998886412873,tweedie,50,10,0.3,100,no
3000,TRUE,44,0.44,0.04963869458396343,lasso,50,10,0.3,100,no
3000,TRUE,0,0,0,boruta,50,10,0.3,100,no
3000,TRUE,0,0,0,svm,50,10,0.3,100,no
10000,TRUE,96,0.96,0.019595917942265433,fdr,50,10,0.3,100,no
10000,TRUE,47,0.47,0.04990991885387112,tweedie,50,10,0.3,100,no
10000,TRUE,37,0.37,0.048280430818293245,lasso,50,10,0.3,100,no
10000,TRUE,0,0,0,boruta,50,10,0.3,100,no
10000,TRUE,0,0,0,svm,50,10,0.3,100,no
