p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims,correlated
100,TRUE,0.09,0.032082595426382345,0.08,0.027129319932501072,fdr,50,10,0.3,100,no
100,FALSE,0.05,0.021904291355759033,0.05,0.021794494717703367,fdr,50,10,0.3,100,no
100,TRUE,0.81,0.0884147709218981,0.56,0.04963869458396342,tweedie,50,10,0.3,100,no
100,FALSE,2.68,0.21643577440997236,0.92,0.027129319932501065,tweedie,50,10,0.3,100,no
100,TRUE,0.73,0.10035794523463089,0.45,0.049749371855331,lasso,50,10,0.3,100,no
100,FALSE,2.51,0.3571760734914189,0.57,0.04950757517794625,lasso,50,10,0.3,100,no
100,TRUE,0.68,0.07089613971340489,0.55,0.049749371855330994,boruta,50,10,0.3,100,no
100,FALSE,2.47,0.151394194142979,0.86,0.03469870314579494,boruta,50,10,0.3,100,no
100,TRUE,0.33,0.05135536717202728,0.31,0.04624932431938871,svm,50,10,0.3,100,no
100,FALSE,1.67,0.05135536717202728,0.98,0.014000000000000005,svm,50,10,0.3,100,no
300,TRUE,0.01,0.01,0.01,0.0099498743710662,fdr,50,10,0.3,100,no
300,FALSE,0.07,0.029318866956210287,0.06,0.023748684174075833,fdr,50,10,0.3,100,no
300,TRUE,0.3,0.05412294272573258,0.26,0.04386342439892262,tweedie,50,10,0.3,100,no
300,FALSE,2.46,0.19869269709475454,0.86,0.03469870314579494,tweedie,50,10,0.3,100,no
300,TRUE,0.4,0.07913675671030665,0.26,0.04386342439892262,lasso,50,10,0.3,100,no
300,FALSE,3.4,0.4364688425363837,0.66,0.04737087712930804,lasso,50,10,0.3,100,no
300,TRUE,0.38,0.06159496240715952,0.32,0.0466476151587624,boruta,50,10,0.3,100,no
300,FALSE,3.8,0.18694784018408703,0.96,0.019595917942265433,boruta,50,10,0.3,100,no
300,TRUE,0.32,0.06010092521851233,0.26,0.04386342439892262,svm,50,10,0.3,100,no
300,FALSE,2.68,0.06010092521851233,0.99,0.009949874371066205,svm,50,10,0.3,100,no
1000,TRUE,0,0,0,0,fdr,50,10,0.3,100,no
1000,FALSE,0.04,0.019694638556693237,0.04,0.019595917942265423,fdr,50,10,0.3,100,no
1000,TRUE,0.16,0.036845294917747066,0.16,0.03666060555964672,tweedie,50,10,0.3,100,no
1000,FALSE,1.96,0.1549975561879684,0.83,0.037563279941985904,tweedie,50,10,0.3,100,no
1000,TRUE,0.13,0.03666666666666667,0.12,0.03249615361854384,lasso,50,10,0.3,100,no
1000,FALSE,3.5,0.5082153365285509,0.69,0.04624932431938871,lasso,50,10,0.3,100,no
1000,TRUE,0.15,0.03859920970562726,0.14,0.03469870314579494,boruta,50,10,0.3,100,no
1000,FALSE,5.74,0.1957219218868206,1,0,boruta,50,10,0.3,100,no
1000,TRUE,0.38,0.06159496240715952,0.31,0.04624932431938871,svm,50,10,0.3,100,no
1000,FALSE,9.62,0.06159496240715952,1,0,svm,50,10,0.3,100,no
3000,TRUE,0.01,0.01,0.01,0.0099498743710662,fdr,50,10,0.3,100,no
3000,FALSE,0.04,0.019694638556693237,0.04,0.019595917942265423,fdr,50,10,0.3,100,no
3000,TRUE,0.06,0.023868325657594204,0.06,0.023748684174075833,tweedie,50,10,0.3,100,no
3000,FALSE,1.56,0.14447396745686497,0.71,0.04537620521815371,tweedie,50,10,0.3,100,no
3000,TRUE,0.06,0.023868325657594204,0.06,0.023748684174075833,lasso,50,10,0.3,100,no
3000,FALSE,3.34,0.5565441708808153,0.53,0.04990991885387112,lasso,50,10,0.3,100,no
3000,TRUE,0.11,0.031446603773522014,0.11,0.03128897569432403,boruta,50,10,0.3,100,no
3000,FALSE,7.3,0.22270150335361366,1,0,boruta,50,10,0.3,100,no
3000,TRUE,0.31,0.054485657458517175,0.28,0.0448998886412873,svm,50,10,0.3,100,no
3000,FALSE,29.69,0.054485657458517175,1,0,svm,50,10,0.3,100,no
10000,TRUE,0,0,0,0,fdr,50,10,0.3,100,no
10000,FALSE,0.04,0.019694638556693237,0.04,0.019595917942265423,fdr,50,10,0.3,100,no
10000,TRUE,0.04,0.019694638556693237,0.04,0.019595917942265423,tweedie,50,10,0.3,100,no
10000,FALSE,0.97,0.12827920936595905,0.51,0.04998999899979995,tweedie,50,10,0.3,100,no
10000,TRUE,0.03,0.01714466079977653,0.03,0.01705872210923198,lasso,50,10,0.3,100,no
10000,FALSE,3.59,0.5373137450373484,0.62,0.048538644398046386,lasso,50,10,0.3,100,no
10000,TRUE,0.04,0.019694638556693237,0.04,0.019595917942265423,boruta,50,10,0.3,100,no
10000,FALSE,9.05,0.28226178836625615,0.99,0.009949874371066205,boruta,50,10,0.3,100,no
10000,TRUE,0.3,0.05412294272573258,0.26,0.04386342439892262,svm,50,10,0.3,100,no
10000,FALSE,99.7,0.05412294272573258,1,0,svm,50,10,0.3,100,no
