p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims
100,TRUE,9.1,0.17950549357115014,1,0,fdr,76,10,1,10
100,FALSE,0.4,0.22110831935702663,0.3,0.14491376746189438,fdr,76,10,1,10
100,TRUE,8.8,0.24944382578492943,1,0,tweedie,76,10,1,10
100,FALSE,6.5,2.0936411663256274,0.8,0.12649110640673517,tweedie,76,10,1,10
100,TRUE,7.1,0.37859388972001823,1,0,lasso,76,10,1,10
100,FALSE,4,1.2292725943057181,0.8,0.12649110640673517,lasso,76,10,1,10
100,TRUE,7.4,0.30550504633038933,1,0,boruta,76,10,1,10
100,FALSE,1.5,0.4533823502911814,0.7,0.14491376746189438,boruta,76,10,1,10
100,TRUE,1.9,0.09999999999999999,1,0,svm,76,10,1,10
100,FALSE,0.1,0.09999999999999999,0.1,0.09486832980505139,svm,76,10,1,10
300,TRUE,8.6,0.4268749491621899,1,0,fdr,76,10,1,10
300,FALSE,0.8,0.24944382578492943,0.6,0.15491933384829668,fdr,76,10,1,10
300,TRUE,8.9,0.348010216963685,1,0,tweedie,76,10,1,10
300,FALSE,1.5,0.4281744192888376,0.7,0.14491376746189438,tweedie,76,10,1,10
300,TRUE,6,0.7888106377466154,1,0,lasso,76,10,1,10
300,FALSE,7.2,2.1540659228538015,0.8,0.12649110640673517,lasso,76,10,1,10
300,TRUE,5.6,0.4760952285695233,1,0,boruta,76,10,1,10
300,FALSE,2.1,0.27688746209726917,1,0,boruta,76,10,1,10
300,TRUE,2.5,0.22360679774997896,1,0,svm,76,10,1,10
300,FALSE,0.5,0.22360679774997896,0.4,0.15491933384829668,svm,76,10,1,10
1000,TRUE,7.6,0.45215533220835114,1,0,fdr,76,10,1,10
1000,FALSE,0.5,0.16666666666666666,0.5,0.15811388300841897,fdr,76,10,1,10
1000,TRUE,8.6,0.3711842908553348,1,0,tweedie,76,10,1,10
1000,FALSE,1.3,0.5385164807134504,0.5,0.15811388300841897,tweedie,76,10,1,10
1000,TRUE,5,0.7453559924999299,1,0,lasso,76,10,1,10
1000,FALSE,5.6,2.5307003861469743,0.8,0.12649110640673517,lasso,76,10,1,10
1000,TRUE,5.7,0.42295258468165065,1,0,boruta,76,10,1,10
1000,FALSE,4.4,0.5811865258054231,1,0,boruta,76,10,1,10
1000,TRUE,5.3,0.3958114029012639,1,0,svm,76,10,1,10
1000,FALSE,4.7,0.3958114029012639,1,0,svm,76,10,1,10
3000,TRUE,6,0.42163702135578385,1,0,fdr,76,10,1,10
3000,FALSE,0.4,0.22110831935702663,0.3,0.14491376746189438,fdr,76,10,1,10
3000,TRUE,6.7,0.47258156262526085,1,0,tweedie,76,10,1,10
3000,FALSE,1.5,0.5627314338711377,0.5,0.15811388300841897,tweedie,76,10,1,10
3000,TRUE,4.9,0.6227180564089801,1,0,lasso,76,10,1,10
3000,FALSE,10.8,3.776535743538279,0.7,0.14491376746189438,lasso,76,10,1,10
3000,TRUE,4.8,0.3590109871423003,1,0,boruta,76,10,1,10
3000,FALSE,5.9,0.5859465277082315,1,0,boruta,76,10,1,10
3000,TRUE,7.5,0.4281744192888376,1,0,svm,76,10,1,10
3000,FALSE,22.5,0.4281744192888376,1,0,svm,76,10,1,10
10000,TRUE,3.4,0.6182412330330469,1,0,fdr,76,10,1,10
10000,FALSE,0.3,0.15275252316519466,0.3,0.14491376746189438,fdr,76,10,1,10
10000,TRUE,5.1,0.6403124237432848,1,0,tweedie,76,10,1,10
10000,FALSE,1.2,0.3590109871423003,0.6,0.15491933384829668,tweedie,76,10,1,10
10000,TRUE,2.8,0.69602043392737,1,0,lasso,76,10,1,10
10000,FALSE,7.6,3.7363083384538807,0.5,0.15811388300841897,lasso,76,10,1,10
10000,TRUE,2.7,0.3958114029012639,1,0,boruta,76,10,1,10
10000,FALSE,8.4,0.7483314773547882,1,0,boruta,76,10,1,10
10000,TRUE,6.7,0.47258156262526085,1,0,svm,76,10,1,10
10000,FALSE,93.3,0.47258156262526085,1,0,svm,76,10,1,10
