p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.07069946527481079,6.382383253053828e-4,fdr,30,3,0.95,100,block
100,0.014213042259216309,1.8781263263434978e-4,tweedie,30,3,0.95,100,block
100,0.3719484877586365,0.0019361372192442494,lasso,30,3,0.95,100,block
100,0.4598710513114929,0.011838672752806518,boruta,30,3,0.95,100,block
100,0.8021068000793456,0.003856126260284741,svm,30,3,0.95,100,block
300,0.1708140516281128,7.621029637359403e-4,fdr,30,3,0.95,100,block
300,0.019487500190734863,1.2924728676430523e-4,tweedie,30,3,0.95,100,block
300,0.37666476249694825,0.0018754514665968041,lasso,30,3,0.95,100,block
300,0.6768178725242615,0.00868193536317318,boruta,30,3,0.95,100,block
300,1.5654827785491943,0.004902195792904878,svm,30,3,0.95,100,block
1000,0.5110452389717102,0.0017185398874575407,fdr,30,3,0.95,100,block
1000,0.03746389389038086,1.4237642130384293e-4,tweedie,30,3,0.95,100,block
1000,0.39528714179992674,0.0014789494281677884,lasso,30,3,0.95,100,block
1000,1.5846888637542724,0.009480040278328486,boruta,30,3,0.95,100,block
1000,3.8598911476135256,0.009943047189989389,svm,30,3,0.95,100,block
3000,1.5098611474037171,0.007383835457480133,fdr,30,3,0.95,100,block
3000,0.09669066667556762,3.3941868170106286e-4,tweedie,30,3,0.95,100,block
3000,2.882382593154907,0.010978000870408778,lasso,30,3,0.95,100,block
3000,4.233257985115051,0.01683219717261287,boruta,30,3,0.95,100,block
3000,2.9124386858940126,0.008389445700576835,svm,30,3,0.95,100,block
