p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.06107865810394287,5.52260755223955e-4,fdr,50,10,0.7,100,no
100,0.013459661006927491,1.5465139850485827e-4,tweedie,50,10,0.7,100,no
100,0.4351764965057373,0.0028224258332343742,lasso,50,10,0.7,100,no
100,0.6352606749534607,0.010376501148060262,boruta,50,10,0.7,100,no
100,0.8829203605651855,0.0037514154841045795,svm,50,10,0.7,100,no
300,0.1777726650238037,9.281303660301573e-4,fdr,50,10,0.7,100,no
300,0.020698630809783937,3.5010380648891714e-4,tweedie,50,10,0.7,100,no
300,0.45139208555221555,0.002881591513975831,lasso,50,10,0.7,100,no
300,0.9543364524841309,0.010441813977156059,boruta,50,10,0.7,100,no
300,1.7244252157211304,0.005813962724576294,svm,50,10,0.7,100,no
1000,0.5401975178718567,0.0038167286091280207,fdr,50,10,0.7,100,no
1000,0.036899092197418215,2.2347113505810857e-4,tweedie,50,10,0.7,100,no
1000,0.4979802441596985,0.002457974159134964,lasso,50,10,0.7,100,no
1000,1.962652792930603,0.010004560359532276,boruta,50,10,0.7,100,no
1000,3.9536351227760314,0.014397777054442304,svm,50,10,0.7,100,no
3000,1.63909747838974,0.00699573290744312,fdr,50,10,0.7,100,no
3000,0.10542001962661743,7.171538897187787e-4,tweedie,50,10,0.7,100,no
3000,3.3331871247291565,0.012671821196640806,lasso,50,10,0.7,100,no
3000,5.4177014756202695,0.027379673399880556,boruta,50,10,0.7,100,no
3000,3.2342533230781556,0.016523054655573112,svm,50,10,0.7,100,no
10000,5.439542498588562,0.014032659982221344,fdr,50,10,0.7,100,no
10000,0.320355179309845,9.817804864345973e-4,tweedie,50,10,0.7,100,no
10000,4.498198072910309,0.011051730665099489,lasso,50,10,0.7,100,no
10000,18.865949897766114,0.06012510911032778,boruta,50,10,0.7,100,no
10000,4.442807614803314,0.03099093131162649,svm,50,10,0.7,100,no
