p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.064906644821167,0.0023678657601875906,fdr,30,3,1.81,10
100,0.01588137149810791,0.001483474876199934,tweedie,30,3,1.81,10
100,2.1569815397262575,0.02361298448194001,lasso,30,3,1.81,10
100,0.5617411375045777,0.030548877970214664,boruta,30,3,1.81,10
100,0.972088623046875,0.01631724686285052,svm,30,3,1.81,10
300,0.1695082187652588,0.0024933719104904962,fdr,30,3,1.81,10
300,0.02126002311706543,0.00106505151796956,tweedie,30,3,1.81,10
300,2.0058113813400267,0.023338720000344055,lasso,30,3,1.81,10
300,0.8232478380203248,0.014476285572568729,boruta,30,3,1.81,10
300,1.7511800050735473,0.028301496854183584,svm,30,3,1.81,10
1000,0.5531682968139648,0.022414062291648683,fdr,30,3,1.81,10
1000,0.06391372680664062,0.02451693162758418,tweedie,30,3,1.81,10
1000,2.059249997138977,0.00616025981608226,lasso,30,3,1.81,10
1000,1.6957296133041382,0.03244812099777764,boruta,30,3,1.81,10
1000,4.133649682998657,0.04183964815244266,svm,30,3,1.81,10
3000,1.5860923767089843,0.026569127049050796,fdr,30,3,1.81,10
3000,0.10375792980194092,0.002354919067670587,tweedie,30,3,1.81,10
3000,4.882409644126892,0.015294897452839242,lasso,30,3,1.81,10
3000,4.543117499351501,0.03444432305730011,boruta,30,3,1.81,10
3000,3.2080996513366697,0.050061133159075434,svm,30,3,1.81,10
10000,5.361881732940674,0.10064054745227037,fdr,30,3,1.81,10
10000,0.3463554859161377,0.011176431076240749,tweedie,30,3,1.81,10
10000,6.586516404151917,0.14671514289679904,lasso,30,3,1.81,10
10000,17.799566125869752,0.3256041830613097,boruta,30,3,1.81,10
10000,4.742799544334412,0.11602662807109233,svm,30,3,1.81,10
