p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims,correlated
100,TRUE,7.65,0.39090028178939745,0.82,0.0384187454245971,fdr,50,10,1.1,100,block
100,FALSE,0.8,0.2538591035287969,0.23,0.042083250825001625,fdr,50,10,1.1,100,block
100,TRUE,8.66,0.2055885859347903,0.97,0.017058722109231986,tweedie,50,10,1.1,100,block
100,FALSE,15.8,1.7715484295902943,0.9,0.03,tweedie,50,10,1.1,100,block
100,TRUE,1.35,0.08572330399888264,0.88,0.03249615361854384,lasso,50,10,1.1,100,block
100,FALSE,2.7,0.2966138870312683,0.68,0.0466476151587624,lasso,50,10,1.1,100,block
100,TRUE,3.85,0.3105469271131079,0.78,0.04142463035441595,boruta,50,10,1.1,100,block
100,FALSE,1.01,0.13669622740170478,0.53,0.04990991885387112,boruta,50,10,1.1,100,block
100,TRUE,1.07,0.0819645156038991,0.7,0.045825756949558406,svm,50,10,1.1,100,block
100,FALSE,0.93,0.0819645156038991,0.63,0.048280430818293245,svm,50,10,1.1,100,block
300,TRUE,7.18,0.4231626952682227,0.76,0.04270831300812525,fdr,50,10,1.1,100,block
300,FALSE,0.32,0.1033577683719433,0.19,0.039230090491866064,fdr,50,10,1.1,100,block
300,TRUE,8.85,0.26299556396765833,0.94,0.023748684174075843,tweedie,50,10,1.1,100,block
300,FALSE,4.13,0.9871553867430182,0.78,0.04142463035441595,tweedie,50,10,1.1,100,block
300,TRUE,1.06,0.0896908269804914,0.71,0.04537620521815371,lasso,50,10,1.1,100,block
300,FALSE,3.88,0.4604082509857502,0.71,0.04537620521815371,lasso,50,10,1.1,100,block
300,TRUE,4.2,0.3402316501408647,0.81,0.03923009049186606,boruta,50,10,1.1,100,block
300,FALSE,2.36,0.1666787874380486,0.87,0.03363034344160047,boruta,50,10,1.1,100,block
300,TRUE,1.38,0.10128467731392472,0.78,0.04142463035441595,svm,50,10,1.1,100,block
300,FALSE,1.62,0.10128467731392472,0.83,0.037563279941985904,svm,50,10,1.1,100,block
1000,TRUE,4.66,0.4649796346143137,0.55,0.049749371855330994,fdr,50,10,1.1,100,block
1000,FALSE,0.23,0.06490863820117715,0.15,0.035707142142714254,fdr,50,10,1.1,100,block
1000,TRUE,8.21,0.31375696700381706,0.92,0.027129319932501065,tweedie,50,10,1.1,100,block
1000,FALSE,2.11,0.23350426639409058,0.73,0.044395945760846225,tweedie,50,10,1.1,100,block
1000,TRUE,0.68,0.08025212794938238,0.51,0.04998999899979995,lasso,50,10,1.1,100,block
1000,FALSE,2.96,0.4199374652820045,0.58,0.04935585071701227,lasso,50,10,1.1,100,block
1000,TRUE,2.91,0.3117545654692311,0.66,0.04737087712930804,boruta,50,10,1.1,100,block
1000,FALSE,4.34,0.22120880030716078,0.95,0.021794494717703377,boruta,50,10,1.1,100,block
1000,TRUE,4.04,0.22015605117435877,0.93,0.02551470164434614,svm,50,10,1.1,100,block
1000,FALSE,5.96,0.22015605117435877,1,0,svm,50,10,1.1,100,block
3000,TRUE,3.94,0.4594287186003368,0.45,0.049749371855331,fdr,50,10,1.1,100,block
3000,FALSE,0.28,0.0792388028606432,0.16,0.03666060555964672,fdr,50,10,1.1,100,block
3000,TRUE,7.35,0.38648245350686605,0.85,0.035707142142714254,tweedie,50,10,1.1,100,block
3000,FALSE,1.81,0.17905193648658468,0.74,0.04386342439892262,tweedie,50,10,1.1,100,block
3000,TRUE,0.54,0.07166138105949071,0.41,0.04918333050943175,lasso,50,10,1.1,100,block
3000,FALSE,3.9,0.5030211755287277,0.7,0.045825756949558406,lasso,50,10,1.1,100,block
3000,TRUE,2.77,0.31167679452025976,0.6,0.04898979485566356,boruta,50,10,1.1,100,block
3000,FALSE,6.21,0.28043796915798425,1,0,boruta,50,10,1.1,100,block
3000,TRUE,6.71,0.3660587246590223,0.86,0.03469870314579494,svm,50,10,1.1,100,block
3000,FALSE,23.29,0.3660587246590223,1,0,svm,50,10,1.1,100,block
