p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.0742332935333252,0.014197845353808624,fdr,76,10,1.81,10
100,0.012810134887695312,7.135326392058061e-4,tweedie,76,10,1.81,10
100,1.06038818359375,0.00899816039940172,lasso,76,10,1.81,10
100,0.7866302490234375,0.020887455582447076,boruta,76,10,1.81,10
100,1.015133309364319,0.004169127058501003,svm,76,10,1.81,10
300,0.1789802074432373,0.0016565904195790617,fdr,76,10,1.81,10
300,0.01994180679321289,0.0013440438895444967,tweedie,76,10,1.81,10
300,1.1091976881027221,0.020299260354678498,lasso,76,10,1.81,10
300,1.1691388368606568,0.036196763384216055,boruta,76,10,1.81,10
300,2.0073389530181887,0.012072406817708787,svm,76,10,1.81,10
1000,0.5917143821716309,0.0025741044622949343,fdr,76,10,1.81,10
1000,0.040439057350158694,0.0011317868057268453,tweedie,76,10,1.81,10
1000,1.1950778484344482,0.019560420832213564,lasso,76,10,1.81,10
1000,2.689806818962097,0.01280164200680451,boruta,76,10,1.81,10
1000,5.03889319896698,0.023691170680094516,svm,76,10,1.81,10
3000,1.8390918970108032,0.01940453924602925,fdr,76,10,1.81,10
3000,0.10673582553863525,0.0023823229798153353,tweedie,76,10,1.81,10
3000,4.014598417282104,0.017253693692943328,lasso,76,10,1.81,10
3000,7.2070232629776,0.06270429266094948,boruta,76,10,1.81,10
3000,3.8210488319396974,0.06168061682868738,svm,76,10,1.81,10
10000,5.894516253471375,0.03416965522758685,fdr,76,10,1.81,10
10000,0.3349322319030762,0.013440433480091437,tweedie,76,10,1.81,10
10000,4.933104920387268,0.0199301357625546,lasso,76,10,1.81,10
10000,24.501050662994384,0.11667194732420595,boruta,76,10,1.81,10
10000,4.954956698417663,0.08137348573903917,svm,76,10,1.81,10
