p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims
100,TRUE,10,1,0,fdr,10,1,1.5,10
100,TRUE,0,0,0,tweedie,10,1,1.5,10
100,TRUE,5,0.5,0.15811388300841897,lasso,10,1,1.5,10
100,TRUE,10,1,0,boruta,10,1,1.5,10
100,TRUE,0,0,0,svm,10,1,1.5,10
300,TRUE,10,1,0,fdr,10,1,1.5,10
300,TRUE,0,0,0,tweedie,10,1,1.5,10
300,TRUE,4,0.4,0.15491933384829668,lasso,10,1,1.5,10
300,TRUE,10,1,0,boruta,10,1,1.5,10
300,TRUE,0,0,0,svm,10,1,1.5,10
1000,TRUE,9,0.9,0.09486832980505137,fdr,10,1,1.5,10
1000,TRUE,0,0,0,tweedie,10,1,1.5,10
1000,TRUE,3,0.3,0.14491376746189438,lasso,10,1,1.5,10
1000,TRUE,10,1,0,boruta,10,1,1.5,10
1000,TRUE,0,0,0,svm,10,1,1.5,10
3000,TRUE,10,1,0,fdr,10,1,1.5,10
3000,TRUE,0,0,0,tweedie,10,1,1.5,10
3000,TRUE,4,0.4,0.15491933384829668,lasso,10,1,1.5,10
3000,TRUE,10,1,0,boruta,10,1,1.5,10
3000,TRUE,0,0,0,svm,10,1,1.5,10
10000,TRUE,10,1,0,fdr,10,1,1.5,10
10000,TRUE,0,0,0,tweedie,10,1,1.5,10
10000,TRUE,3,0.3,0.14491376746189438,lasso,10,1,1.5,10
10000,TRUE,10,1,0,boruta,10,1,1.5,10
10000,TRUE,0,0,0,svm,10,1,1.5,10
