p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.07353359937667847,6.065718464159557e-4,fdr,50,10,1.1,100,block
100,0.01425440788269043,2.112255232284823e-4,tweedie,50,10,1.1,100,block
100,0.3732218647003174,0.0011376817807530989,lasso,50,10,1.1,100,block
100,0.5818625473976136,0.011112260184615823,boruta,50,10,1.1,100,block
100,0.8568002200126648,0.0037813130022534814,svm,50,10,1.1,100,block
300,0.18396071910858156,7.187792924868723e-4,fdr,50,10,1.1,100,block
300,0.02006742238998413,1.1904062600658893e-4,tweedie,50,10,1.1,100,block
300,0.383358154296875,0.001910684500632719,lasso,50,10,1.1,100,block
300,0.9038522577285767,0.008511843790321872,boruta,50,10,1.1,100,block
300,1.7016307282447816,0.005799682037722249,svm,50,10,1.1,100,block
1000,0.5664625191688537,0.0021866878657165966,fdr,50,10,1.1,100,block
1000,0.039543936252593996,2.689951269995766e-4,tweedie,50,10,1.1,100,block
1000,0.41410825967788695,0.004065166390257856,lasso,50,10,1.1,100,block
1000,2.0707401609420777,0.016648281664403623,boruta,50,10,1.1,100,block
1000,4.263139877319336,0.011830168157256722,svm,50,10,1.1,100,block
3000,1.6382808756828309,0.007272234883832322,fdr,50,10,1.1,100,block
3000,0.09922275543212891,4.499894807150273e-4,tweedie,50,10,1.1,100,block
3000,2.892985370159149,0.011170033306642888,lasso,50,10,1.1,100,block
3000,5.2731720018386845,0.02807140243276654,boruta,50,10,1.1,100,block
3000,3.1047372341156008,0.012219496753671491,svm,50,10,1.1,100,block
