p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.05987129211425781,4.411990018270635e-4,fdr,76,10,0.9,10
100,0.012891578674316406,6.501964149904545e-4,tweedie,76,10,0.9,10
100,1.0468014240264893,0.006268197691427895,lasso,76,10,0.9,10
100,0.8216985464096069,0.0218734662823542,boruta,76,10,0.9,10
100,1.0237582206726075,0.01098650958830168,svm,76,10,0.9,10
300,0.18066847324371338,0.0020208630161485494,fdr,76,10,0.9,10
300,0.019121360778808594,0.0010614975164573086,tweedie,76,10,0.9,10
300,1.1329373359680175,0.02045616165080007,lasso,76,10,0.9,10
300,1.2176640272140502,0.02307856301757902,boruta,76,10,0.9,10
300,2.0532843828201295,0.03162457154523608,svm,76,10,0.9,10
1000,0.6001267671585083,0.007929927238269949,fdr,76,10,0.9,10
1000,0.04197182655334473,0.0019980216025912594,tweedie,76,10,0.9,10
1000,1.2058417797088623,0.017869579612856838,lasso,76,10,0.9,10
1000,2.6826340913772584,0.021108069621733366,boruta,76,10,0.9,10
1000,5.012681198120117,0.02041222910297573,svm,76,10,0.9,10
3000,1.8492243528366088,0.012990134987299503,fdr,76,10,0.9,10
3000,0.10823712348937989,0.002808299366167074,tweedie,76,10,0.9,10
3000,4.11701991558075,0.019983354861916238,lasso,76,10,0.9,10
3000,7.3270906686782835,0.057703211289169123,boruta,76,10,0.9,10
3000,3.9097028732299806,0.05673072390732753,svm,76,10,0.9,10
10000,6.208924627304077,0.04360548662855973,fdr,76,10,0.9,10
10000,0.3382870674133301,0.0036238984114521306,tweedie,76,10,0.9,10
10000,5.379661583900452,0.02871230847245743,lasso,76,10,0.9,10
10000,26.14899821281433,0.16958376497542188,boruta,76,10,0.9,10
10000,5.353477954864502,0.1032320227940993,svm,76,10,0.9,10
