p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.06774337291717529,0.0026379395716992307,fdr,30,3,1.7,10
100,0.0169266939163208,0.0010352106615416743,tweedie,30,3,1.7,10
100,2.3669933795928957,0.015019448628503145,lasso,30,3,1.7,10
100,0.6070112943649292,0.04951492389593992,boruta,30,3,1.7,10
100,1.04334499835968,0.008830321057832458,svm,30,3,1.7,10
300,0.1910939931869507,0.002045069403738595,fdr,30,3,1.7,10
300,0.022858285903930665,3.8528891578894757e-4,tweedie,30,3,1.7,10
300,2.237275576591492,0.037439482345628085,lasso,30,3,1.7,10
300,0.9400736570358277,0.03335323222751221,boruta,30,3,1.7,10
300,1.955254602432251,0.03866919078067717,svm,30,3,1.7,10
1000,0.5954608917236328,0.0060097189824946775,fdr,30,3,1.7,10
1000,0.048902487754821776,0.0026946998109890954,tweedie,30,3,1.7,10
1000,2.346602511405945,0.021993453398720345,lasso,30,3,1.7,10
1000,2.0936439037323,0.06836961813160979,boruta,30,3,1.7,10
1000,4.579776787757874,0.051731129898073304,svm,30,3,1.7,10
3000,1.828139352798462,0.049775135119914604,fdr,30,3,1.7,10
3000,0.11373798847198487,0.0026761934519809257,tweedie,30,3,1.7,10
3000,5.42309947013855,0.03486361730818193,lasso,30,3,1.7,10
3000,5.210398530960083,0.05206414551801853,boruta,30,3,1.7,10
3000,3.556576681137085,0.04739419951013212,svm,30,3,1.7,10
10000,5.646510076522827,0.038305670090747215,fdr,30,3,1.7,10
10000,0.3677602052688599,0.0010376168829829336,tweedie,30,3,1.7,10
10000,6.8009391784667965,0.11229898683921702,lasso,30,3,1.7,10
10000,19.11275248527527,0.09503927656988147,boruta,30,3,1.7,10
10000,4.741747188568115,0.10163609965031002,svm,30,3,1.7,10
